"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220208","SK에너지","셀프","1947","1797","1647","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220209","SK에너지","셀프","1947","1797","1647","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220210","SK에너지","셀프","1977","1827","1677","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220211","SK에너지","셀프","1977","1827","1677","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220212","SK에너지","셀프","1977","1827","1677","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220213","SK에너지","셀프","1977","1827","1677","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220214","SK에너지","셀프","1977","1827","1677","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220215","SK에너지","셀프","1977","1827","1677","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220216","SK에너지","셀프","1977","1827","1677","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220217","SK에너지","셀프","1977","1827","1677","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220218","SK에너지","셀프","1997","1857","1697","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220219","SK에너지","셀프","1997","1857","1697","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220220","SK에너지","셀프","1997","1857","1697","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220221","SK에너지","셀프","1997","1857","1697","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220222","SK에너지","셀프","1997","1857","1697","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220223","SK에너지","셀프","1997","1857","1697","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220224","SK에너지","셀프","1997","1857","1697","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220225","SK에너지","셀프","2017","1877","1717","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220226","SK에너지","셀프","2017","1877","1717","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220227","SK에너지","셀프","2017","1877","1717","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220228","SK에너지","셀프","2017","1877","1717","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220301","SK에너지","셀프","2017","1877","1717","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220302","SK에너지","셀프","2017","1877","1717","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220303","SK에너지","셀프","2037","1897","1737","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220304","SK에너지","셀프","2037","1897","1737","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220305","SK에너지","셀프","2087","1957","1787","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220306","SK에너지","셀프","2087","1957","1787","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220307","SK에너지","셀프","2087","1957","1787","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220308","SK에너지","셀프","2087","1957","1837","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220309","SK에너지","셀프","2127","1997","1897","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220310","SK에너지","셀프","2187","2057","1957","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220311","SK에너지","셀프","2187","2057","1957","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220312","SK에너지","셀프","2227","2097","1997","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220313","SK에너지","셀프","2227","2097","1997","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220314","SK에너지","셀프","2227","2097","1997","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220315","SK에너지","셀프","2287","2157","2057","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220316","SK에너지","셀프","2227","2097","1997","0"
"A0006039","서울 강남구","(유)동하석유 힐탑셀프주유소","서울 강남구 논현로 640","20220317","SK에너지","셀프","2227","2097","1997","0"
